Molecule,SinglePointEnergy[a.u.],nAtoms,DipoleMoment[Debye],MolecularWeight[g/mol],HOMO-1[kcal/mol],HOMO[kcal/mol],LUMO[kcal/mol],LUMO+1[kcal/mol],CoreStructure,N-1_subst,C-2_subst,N-3_subst,C-4_subst,C-5_subst,N-1_Avalue[kcal/mol],C-2_Avalue[kcal/mol],N-3_Avalue[kcal/mol],C-4_Avalue[kcal/mol],C-5_Avalue[kcal/mol],LUMO_N-1[%],LUMO_C-2[%],LUMO_N-3[%]
mol_895,-855.353436573523,58,4.65493,293.5104800000006,-186.277929177,-152.824796878,-13.136273406,6.839220591000001,I_imid,Propyl,Ethyl,Propyl,Isobutyl,Isobutyl,1.649728751,1.711067804,1.649728751,3.276026296,3.276026296,0.143274,0.437925,0.141951,
mol_8953,-2527.583492735538,102,8.23637,751.8406799999984,-138.87840935300002,-137.617743772,-33.344573242,-19.122709266,III_benzimid,TMOB,Ethyl,TMOB,DMOB,DMOB,6.045928531,1.711067804,6.045928531,6.042753333,6.042753333,0.071574,0.350469,0.074285,
mol_8955,-1237.447400685663,70,1.39432,415.6333600000005,-161.82766850099998,-159.333947735,-33.897408671,-5.993338459,III_benzimid,adam,Ethyl,adam,Hydro,Hydro,3.685796275,1.711067804,3.685796275,0,0,0.065108,0.311541,0.064845,
mol_8958,-1473.215838739433,88,4.29936,499.7928400000007,-152.28764917400002,-150.380649323,-33.593694315,-5.862816587,III_benzimid,adam,Ethyl,adam,Propyl,Propyl,3.685796275,1.711067804,3.685796275,1.649728751,1.649728751,0.100682,0.396163,0.099537,
mol_8960,-1551.809775726391,94,6.07699,527.8459999999998,-152.693647497,-151.893573522,-32.018019216,-3.167665432,III_benzimid,adam,Ethyl,adam,Isobutyl,Isobutyl,3.685796275,1.711067804,3.685796275,3.276026296,3.276026296,0.064566,0.304539,0.064395,
mol_8962,-1551.760681061079,94,5.28383,527.8459999999998,-153.226402638,-151.370858525,-36.937689776,-8.559222759999999,III_benzimid,adam,Ethyl,adam,t-Butyl,t-Butyl,3.685796275,1.711067804,3.685796275,4.972259776,4.972259776,0.104952,0.410033,0.103046,
mol_8963,-1708.957338551605,106,7.57124,583.9523199999973,-150.945407423,-150.255775032,-31.605118294,-5.0445448509999995,III_benzimid,adam,Ethyl,adam,DMB,DMB,3.685796275,1.711067804,3.685796275,1.753807476,1.753807476,0.082977,0.35404,0.088519,
mol_8966,-1856.545896857973,102,11.40947,623.9315999999977,-150.205574312,-148.113459306,-35.412842906,-15.761143553,III_benzimid,adam,Ethyl,adam,DMP,DMP,3.685796275,1.711067804,3.685796275,8.431506296,8.431506296,0.056237,0.281141,0.055112,
mol_8969,-1856.543313297569,102,10.92074,623.9315999999977,-151.48945772599998,-146.953822674,-36.502826039,-19.348612506000002,III_benzimid,adam,Ethyl,adam,EP,EP,3.685796275,1.711067804,3.685796275,3.874770761,3.874770761,0.063336,0.309799,0.067137,
mol_897,-855.292456946082,58,3.67189,293.5104800000006,-187.29010119400002,-153.58282775,-13.009516588,5.159378998,I_imid,Propyl,Ethyl,Propyl,t-Butyl,t-Butyl,1.649728751,1.711067804,1.649728751,4.972259776,4.972259776,0.137379,0.442978,0.153423,
mol_8971,-576.699465595363,31,5.01922,189.2767799999998,-159.999107275,-154.287520357,-31.136996579999998,-3.862945404,III_benzimid,Hydro,Propyl,Hydro,Methyl,Methyl,0,1.649728751,0,1.803016771,1.803016771,0.075575,0.340512,0.076343,
mol_8974,-812.463222068619,49,12.91427,273.4362600000001,-158.274085034,-153.845126512,-32.790482795,-4.118341567,III_benzimid,Hydro,Propyl,Hydro,Butyl,Butyl,0,1.649728751,0,1.602489835,1.602489835,0.071069,0.32754,0.071748,
mol_8975,-812.462608943737,49,11.79912,273.4362600000001,-158.312990592,-153.284133466,-32.464178115,-5.832068646000001,III_benzimid,Hydro,Propyl,Hydro,Isobutyl,Isobutyl,0,1.649728751,0,3.276026296,3.276026296,0.07422,0.330215,0.07103,
mol_8977,-812.421077514187,49,11.45992,273.4362600000001,-158.76667959899999,-155.053081337,-31.468321332,-7.249611477000001,III_benzimid,Hydro,Propyl,Hydro,t-Butyl,t-Butyl,0,1.649728751,0,4.972259776,4.972259776,0.078566,0.351053,0.078971,
mol_8978,-969.631908949904,61,14.47142,329.54258000000056,-157.362941966,-152.256273724,-31.756347963,-5.330061446,III_benzimid,Hydro,Propyl,Hydro,DMB,DMB,0,1.649728751,0,1.753807476,1.753807476,0.068661,0.324707,0.069091,
mol_8979,-960.023184359828,45,16.39691,313.41554000000025,-157.26191301699998,-146.60492767,-37.489897696,-25.29488779,III_benzimid,Hydro,Propyl,Hydro,phen,phen,0,1.649728751,0,3.620874142,3.620874142,0.056198,0.290484,0.059328,
mol_8980,-1038.615673072313,51,17.35756,341.4687000000003,-153.341236785,-148.785521445,-36.329006046,-20.269168209000004,III_benzimid,Hydro,Propyl,Hydro,tolu,tolu,0,1.649728751,0,3.798133026,3.798133026,0.059427,0.296102,0.059295,
mol_8983,-1195.796971799979,63,19.22763,397.5750200000004,-148.191270422,-145.32292678299999,-35.065830429,-14.21935394,III_benzimid,Hydro,Propyl,Hydro,TMP,TMP,0,1.649728751,0,7.628118434,7.628118434,0.058061,0.295676,0.058585,
mol_8984,-1117.201721741038,57,17.95739,369.52186000000034,-154.140683251,-153.923565137,-36.056039631000004,-12.560220144,III_benzimid,Hydro,Propyl,Hydro,EP,EP,0,1.649728751,0,3.874770761,3.874770761,0.059259,0.294414,0.058214,
mol_8986,-1195.798551411734,63,15.07098,397.5750200000004,-150.79041270000002,-150.358058999,-32.024294306,-7.520695365000001,III_benzimid,Hydro,Propyl,Hydro,DMBz,DMBz,0,1.649728751,0,2.127721562,2.127721562,0.074993,0.33587,0.076127,
mol_899,-1002.903806132863,54,6.68792,333.4897600000004,-165.813605669,-152.602031183,-24.398177429,-20.392159973,I_imid,Propyl,Ethyl,Propyl,phen,phen,1.649728751,1.711067804,1.649728751,3.620874142,3.620874142,0.036837,0.021984,0.005227,
mol_8991,-655.273963980309,37,4.96203,217.32993999999977,-157.546174594,-153.390809996,-31.408080468,-4.521829854,III_benzimid,Methyl,Propyl,Methyl,Methyl,Methyl,1.803016771,1.649728751,1.803016771,1.803016771,1.803016771,0.070026,0.324925,0.070739,
mol_8995,-891.041714346510,55,11.16581,301.4894200000005,-156.04580057500002,-152.44076137000002,-32.334911261,-5.673936378,III_benzimid,Methyl,Propyl,Methyl,Isobutyl,Isobutyl,1.803016771,1.649728751,1.803016771,3.276026296,3.276026296,0.065604,0.312259,0.063386,
mol_8997,-890.996478357080,55,10.49715,301.4894200000005,-155.601524203,-153.816888607,-31.743797783,-7.547678252000001,III_benzimid,Methyl,Propyl,Methyl,t-Butyl,t-Butyl,1.803016771,1.649728751,1.803016771,4.972259776,4.972259776,0.072544,0.335314,0.071458,
mol_900,-1081.496279842614,60,7.33481,361.54292000000044,-158.86017844,-158.64055029,-18.642664881,-16.102508449000002,I_imid,Propyl,Ethyl,Propyl,tolu,tolu,1.649728751,1.711067804,1.649728751,3.798133026,3.798133026,0.066922,0.197126,0.062305,
mol_9000,-1117.190206628219,57,16.26795,369.52186000000034,-152.60391371,-148.87149017800002,-36.434427558,-19.906468007,III_benzimid,Methyl,Propyl,Methyl,tolu,tolu,1.803016771,1.649728751,1.803016771,3.798133026,3.798133026,0.058275,0.279685,0.048773,
mol_9001,-1195.776729341882,63,17.34228,397.5750200000004,-150.465363038,-148.511300012,-36.272530236,-17.282852878,III_benzimid,Methyl,Propyl,Methyl,DMP,DMP,1.803016771,1.649728751,1.803016771,8.431506296,8.431506296,0.054912,0.285884,0.054908,
mol_9009,-1725.572751744882,75,16.09109,521.6245799999999,-135.433384943,-130.81491870300002,-32.821858245,-11.15083493,III_benzimid,Methyl,Propyl,Methyl,TMOB,TMOB,1.803016771,1.649728751,1.803016771,6.045928531,6.045928531,0.064241,0.317463,0.067638,
mol_9011,-733.869594245223,43,3.75188,245.3830999999997,-156.959453679,-153.09086069399999,-31.039732685,-3.755641365,III_benzimid,Ethyl,Propyl,Ethyl,Methyl,Methyl,1.711067804,1.649728751,1.711067804,1.803016771,1.803016771,0.07053,0.324416,0.070723,
mol_9012,-812.454464967110,49,5.93242,273.4362600000001,-156.817636645,-151.997740016,-30.563453354,-3.47639986,III_benzimid,Ethyl,Propyl,Ethyl,Ethyl,Ethyl,1.711067804,1.649728751,1.711067804,1.711067804,1.711067804,0.073961,0.33094,0.074579,
mol_9015,-969.635524694329,61,10.27616,329.54258000000056,-155.484807529,-152.279491557,-32.228234731,-4.428958522,III_benzimid,Ethyl,Propyl,Ethyl,Isobutyl,Isobutyl,1.711067804,1.649728751,1.711067804,3.276026296,3.276026296,0.065049,0.311386,0.065336,
mol_9018,-1126.796913167658,73,12.35709,385.64890000000065,-155.155992813,-151.015060922,-31.217317732,-5.480663606,III_benzimid,Ethyl,Propyl,Ethyl,DMB,DMB,1.711067804,1.649728751,1.711067804,1.753807476,1.753807476,0.071959,0.319277,0.065317,
mol_902,-1317.251420407254,78,8.55874,445.7024000000006,-153.133531306,-151.435491952,-20.512014192000002,-18.345225615,I_imid,Propyl,Ethyl,Propyl,DEP,DEP,1.649728751,1.711067804,1.649728751,10.28464853,10.28464853,0.103884,0.314501,0.087813,
mol_9021,-1274.372021880494,69,16.35522,425.62818000000044,-150.109565435,-148.082083856,-36.058549667,-16.640911171000003,III_benzimid,Ethyl,Propyl,Ethyl,DMP,DMP,1.711067804,1.649728751,1.711067804,8.431506296,8.431506296,0.055813,0.287105,0.056456,
mol_9022,-1431.543078104285,81,17.29961,481.73450000000054,-149.991593743,-148.567148313,-35.887867219,-14.704418397,III_benzimid,Ethyl,Propyl,Ethyl,DEP,DEP,1.711067804,1.649728751,1.711067804,10.28464853,10.28464853,0.053706,0.281287,0.05631,
mol_9032,-891.047382317342,55,5.26497,301.4894200000005,-156.131141799,-153.11721607200002,-32.042492067,-5.3325714820000005,III_benzimid,Propyl,Propyl,Propyl,Ethyl,Ethyl,1.649728751,1.649728751,1.649728751,1.711067804,1.711067804,0.066955,0.314833,0.066454,
mol_904,-1160.084276233064,66,7.58933,389.5960800000005,-158.77609223399998,-157.136411217,-19.081293672,-16.940860473,I_imid,Propyl,Ethyl,Propyl,EP,EP,1.649728751,1.711067804,1.649728751,3.874770761,3.874770761,0.041094,0.19404,0.080553,
mol_9040,-1274.375278448809,69,14.03396,425.62818000000044,-153.499369053,-150.559489388,-36.195974138,-17.786742605,III_benzimid,Propyl,Propyl,Propyl,tolu,tolu,1.649728751,1.649728751,1.649728751,3.798133026,3.798133026,0.056464,0.285128,0.055284,
mol_9045,-1274.372751624824,69,10.78829,425.62818000000044,-155.504887817,-153.279740903,-31.297638883999998,-11.779598948,III_benzimid,Propyl,Propyl,Propyl,Bz,Bz,1.649728751,1.649728751,1.649728751,1.541420611,1.541420611,0.071033,0.32197,0.068563,
mol_9046,-1431.559523608136,81,11.94293,481.73450000000054,-150.845633492,-150.533761519,-31.350977149,-7.383898403,III_benzimid,Propyl,Propyl,Propyl,DMBz,DMBz,1.649728751,1.649728751,1.649728751,2.127721562,2.127721562,0.06863,0.317203,0.068574,
mol_9050,-812.450378914874,49,2.49744,273.4362600000001,-162.603269625,-161.446770538,-34.787216433,-7.284124472,III_benzimid,Butyl,Propyl,Butyl,Hydro,Hydro,1.602489835,1.649728751,1.602489835,0,0,0.064264,0.310947,0.064586,
mol_9052,-969.637623176421,61,4.85701,329.54258000000056,-155.570148753,-152.869977526,-31.952130771,-4.453431373,III_benzimid,Butyl,Propyl,Butyl,Ethyl,Ethyl,1.602489835,1.649728751,1.602489835,1.711067804,1.711067804,0.066429,0.314637,0.066262,
mol_9054,-1126.816772815504,73,8.40564,385.6489000000007,-155.385661107,-152.02033034000002,-31.635238726,-4.328557082,III_benzimid,Butyl,Propyl,Butyl,Butyl,Butyl,1.602489835,1.649728751,1.602489835,1.602489835,1.602489835,0.067461,0.314983,0.066284,
mol_9063,-1510.147811242574,87,14.58114,509.7876600000006,-147.520463301,-144.44002162,-35.27855598,-14.978012321000001,III_benzimid,Butyl,Propyl,Butyl,TMP,TMP,1.602489835,1.649728751,1.602489835,7.628118434,7.628118434,0.056557,0.288145,0.056467,
mol_9067,-1588.745161469481,93,11.77771,537.8408199999992,-146.437382767,-144.241101267,-31.67037923,-7.298557179,III_benzimid,Butyl,Propyl,Butyl,TMBz,TMBz,1.602489835,1.649728751,1.602489835,2.232277195,2.232277195,0.0672,0.316335,0.069186,
mol_9069,-1961.345707633990,93,12.95950,605.7840599999979,-134.79897334400002,-130.431510704,-32.466688151,-12.243328099000001,III_benzimid,Butyl,Propyl,Butyl,TMOB,TMOB,1.602489835,1.649728751,1.602489835,6.045928531,6.045928531,0.06723,0.313443,0.06473,
mol_9071,-891.045856444772,55,3.27518,301.4894200000005,-155.92908390099998,-152.858682364,-31.524797142,-3.396706217,III_benzimid,Isobutyl,Propyl,Isobutyl,Methyl,Methyl,3.276026296,1.649728751,3.276026296,1.803016771,1.803016771,0.075048,0.337478,0.076537,
mol_9075,-1126.813212458745,73,8.49368,385.64890000000065,-154.522208723,-151.685240534,-32.415859922,-5.2083247,III_benzimid,Isobutyl,Propyl,Isobutyl,Isobutyl,Isobutyl,3.276026296,1.649728751,3.276026296,3.276026296,3.276026296,0.070634,0.325888,0.069746,
mol_9077,-1126.764398893785,73,7.93582,385.64890000000065,-155.76906910600002,-153.547687246,-31.922010339,-8.179579815,III_benzimid,Isobutyl,Propyl,Isobutyl,t-Butyl,t-Butyl,3.276026296,1.649728751,3.276026296,4.972259776,4.972259776,0.074356,0.344982,0.079153,
mol_9078,-1283.974095058008,85,10.75744,441.75522000000075,-154.550446628,-151.216491311,-31.913225213,-5.375242094000001,III_benzimid,Isobutyl,Propyl,Isobutyl,DMB,DMB,3.276026296,1.649728751,3.276026296,1.753807476,1.753807476,0.072697,0.323787,0.067267,
mol_908,-1460.888766700741,70,4.19627,453.5936800000005,-143.346900942,-142.805360675,-17.774192425,-14.752109080999999,I_imid,Propyl,Ethyl,Propyl,DMOB,DMOB,1.649728751,1.711067804,1.649728751,6.042753333,6.042753333,0.007812,0.050967,0.042593,
mol_9081,-1431.547050566467,81,14.47222,481.73450000000054,-149.612578307,-147.885673539,-36.920119524,-17.669398422,III_benzimid,Isobutyl,Propyl,Isobutyl,DMP,DMP,3.276026296,1.649728751,3.276026296,8.431506296,8.431506296,0.058287,0.295081,0.060832,
mol_9082,-1588.718442156644,93,16.02352,537.8408199999992,-149.88052465,-147.989840033,-35.549012359,-15.188227836,III_benzimid,Isobutyl,Propyl,Isobutyl,DEP,DEP,3.276026296,1.649728751,3.276026296,10.28464853,10.28464853,0.06085,0.303537,0.061833,
mol_9084,-1431.550332439347,81,13.97629,481.73450000000054,-152.964103876,-149.719882346,-36.186561503,-17.781095024,III_benzimid,Isobutyl,Propyl,Isobutyl,EP,EP,3.276026296,1.649728751,3.276026296,3.874770761,3.874770761,0.057896,0.29023,0.056981,
mol_9085,-1352.961069235964,75,13.11867,453.6813400000005,-153.95368556900002,-153.805593445,-33.980867368,-10.305580307,III_benzimid,Isobutyl,Propyl,Isobutyl,Bz,Bz,3.276026296,1.649728751,3.276026296,1.541420611,1.541420611,0.064984,0.307314,0.063182,
mol_9092,-969.630842788690,61,4.69644,329.54258000000056,-155.623487018,-153.144826468,-31.533582268,-4.777226017,III_benzimid,Sec-Butyl,Propyl,Sec-Butyl,Ethyl,Ethyl,2.129855094,1.649728751,2.129855094,1.711067804,1.711067804,0.068221,0.315709,0.068507,
mol_9093,-1048.222793058542,67,6.97386,357.59574000000066,-155.225018803,-152.569400715,-31.351604658,-4.987441532,III_benzimid,Sec-Butyl,Propyl,Sec-Butyl,Propyl,Propyl,2.129855094,1.649728751,2.129855094,1.649728751,1.649728751,0.065552,0.308421,0.066614,
mol_91,-1160.080331692191,66,6.65062,389.5960800000005,-156.385282944,-153.20820487700001,-21.052926950000003,-19.531217625,I_imid,Butyl,Hydro,Butyl,DMP,DMP,1.602489835,0,1.602489835,8.431506296,8.431506296,0.114573,0.374526,0.113019,
mol_9100,-1352.959119880824,75,13.78502,453.6813400000005,-153.078938023,-148.716495455,-36.465175499000004,-20.203907273000002,III_benzimid,Sec-Butyl,Propyl,Sec-Butyl,tolu,tolu,2.129855094,1.649728751,2.129855094,3.798133026,3.798133026,0.04984,0.278544,0.06155,
mol_9101,-1431.537956153536,81,14.66982,481.73450000000054,-150.575177113,-148.547068025,-36.657193252999996,-15.926805929,III_benzimid,Sec-Butyl,Propyl,Sec-Butyl,DMP,DMP,2.129855094,1.649728751,2.129855094,8.431506296,8.431506296,0.060082,0.292426,0.058115,
mol_9102,-1588.717059184937,93,15.67037,537.8408199999992,-149.67972177,-148.01054783,-35.158701761,-13.271815349999999,III_benzimid,Sec-Butyl,Propyl,Sec-Butyl,DEP,DEP,2.129855094,1.649728751,2.129855094,10.28464853,10.28464853,0.057453,0.282599,0.055963,
mol_9103,-1510.137010966432,87,15.29311,509.7876600000006,-148.058238514,-145.152244335,-35.747305202999996,-14.957932033,III_benzimid,Sec-Butyl,Propyl,Sec-Butyl,TMP,TMP,2.129855094,1.649728751,2.129855094,7.628118434,7.628118434,0.059948,0.292728,0.059499,
mol_911,-698.175524206822,46,2.05269,237.40415999999968,-185.496052963,-153.441638225,-12.711449813000002,14.059966654,I_imid,Butyl,Ethyl,Butyl,Methyl,Methyl,1.602489835,1.711067804,1.602489835,1.803016771,1.803016771,0.141993,0.431733,0.141533,
mol_9111,-891.008722765724,55,3.16042,301.4894200000005,-153.845754021,-151.359563363,-34.087543898,-4.282121416,III_benzimid,t-Butyl,Propyl,t-Butyl,Methyl,Methyl,4.972259776,1.649728751,4.972259776,1.803016771,1.803016771,0.100328,0.397839,0.099562,
mol_9117,-1126.729818304869,73,8.38254,385.64890000000065,-153.990081091,-153.009912033,-32.444097827,-6.4727553349999996,III_benzimid,t-Butyl,Propyl,t-Butyl,t-Butyl,t-Butyl,4.972259776,1.649728751,4.972259776,4.972259776,4.972259776,0.077951,0.347446,0.0799,
mol_9121,-1431.514811964659,81,14.63951,481.73450000000054,-151.119854925,-148.949301294,-35.474338788,-14.674925474,III_benzimid,t-Butyl,Propyl,t-Butyl,DMP,DMP,4.972259776,1.649728751,4.972259776,8.431506296,8.431506296,0.055568,0.28121,0.055506,
mol_9125,-1352.927108439059,75,11.97027,453.6813400000005,-155.743968746,-153.461091004,-32.21631206,-11.428821417,III_benzimid,t-Butyl,Propyl,t-Butyl,Bz,Bz,4.972259776,1.649728751,4.972259776,1.541420611,1.541420611,0.067242,0.304075,0.062611,
mol_913,-855.348485897613,58,2.68889,293.5104800000006,-186.46429935000003,-152.512297396,-12.812478762,6.163393397999999,I_imid,Butyl,Ethyl,Butyl,Propyl,Propyl,1.602489835,1.711067804,1.602489835,1.649728751,1.649728751,0.145679,0.430923,0.140916,
mol_9133,-1205.383510901549,79,6.09555,413.70206000000076,-154.851023439,-152.663527065,-33.129965164000005,-4.575795628,III_benzimid,DMB,Propyl,DMB,Propyl,Propyl,1.753807476,1.649728751,1.753807476,1.649728751,1.649728751,0.073139,0.334967,0.073115,
mol_9137,-1283.936399142458,85,6.70531,441.75522000000075,-154.82341304300002,-153.520704359,-32.218822096000004,-7.2038033200000005,III_benzimid,DMB,Propyl,DMB,t-Butyl,t-Butyl,1.753807476,1.649728751,1.753807476,4.972259776,4.972259776,0.078289,0.350261,0.078334,
mol_9144,-1588.718930011109,93,12.00245,537.8408199999992,-154.302580573,-149.757532886,-36.443212684,-17.370704138,III_benzimid,DMB,Propyl,DMB,EP,EP,1.753807476,1.649728751,1.753807476,3.874770761,3.874770761,0.058277,0.301526,0.063775,
mol_915,-933.929895994980,64,5.27044,321.56364000000065,-186.071478716,-151.948794314,-13.520936423,7.579681211,I_imid,Butyl,Ethyl,Butyl,Isobutyl,Isobutyl,1.602489835,1.711067804,1.602489835,3.276026296,3.276026296,0.156013,0.442176,0.13773,
mol_9150,-959.999477246327,45,0.77909,313.41554000000025,-164.943250686,-164.318879231,-37.339295536,-23.24293336,III_benzimid,phen,Propyl,phen,Hydro,Hydro,3.620874142,1.649728751,3.620874142,0,0,0.073532,0.347143,0.074572,
mol_9151,-1038.596716784319,51,1.48161,341.4687000000003,-159.63201451,-155.006018162,-34.0109878,-22.557693532000002,III_benzimid,phen,Propyl,phen,Methyl,Methyl,3.620874142,1.649728751,3.620874142,1.803016771,1.803016771,0.080223,0.359389,0.081523,
mol_9152,-1117.182537596619,57,3.51557,369.52186000000034,-158.97940515000002,-155.340480459,-34.979861696,-22.466077218000002,III_benzimid,phen,Propyl,phen,Ethyl,Ethyl,3.620874142,1.649728751,3.620874142,1.711067804,1.711067804,0.076307,0.347814,0.074749,
mol_9154,-1274.360675735613,69,7.13140,425.6281800000005,-158.004883673,-154.42996490000002,-35.387742546,-22.225741271,III_benzimid,phen,Propyl,phen,Butyl,Butyl,3.620874142,1.649728751,3.620874142,1.602489835,1.602489835,0.074715,0.348701,0.077414,
mol_9157,-1274.315932013996,69,6.65431,425.62818000000044,-158.816880319,-155.495475182,-34.685559975,-22.543888334000002,III_benzimid,phen,Propyl,phen,t-Butyl,t-Butyl,3.620874142,1.649728751,3.620874142,4.972259776,4.972259776,0.084107,0.368094,0.084404,
mol_9159,-1421.920798881886,65,10.27467,465.60746000000023,-157.44577315400002,-147.91202891700001,-39.518634293000005,-26.203520822,III_benzimid,phen,Propyl,phen,phen,phen,3.620874142,1.649728751,3.620874142,3.620874142,3.620874142,0.064912,0.32099,0.064861,
mol_9169,-2108.892434141838,89,11.26954,645.7633399999984,-135.9812003,-130.812408667,-36.089925117,-23.025187737000003,III_benzimid,phen,Propyl,phen,TMOB,TMOB,3.620874142,1.649728751,3.620874142,6.045928531,6.045928531,0.075755,0.353516,0.078691,
mol_9174,-1352.958177824174,75,5.94716,453.68134000000055,-158.491830657,-154.286265339,-35.49190904,-20.811963494,III_benzimid,tolu,Propyl,tolu,Butyl,Butyl,3.798133026,1.649728751,3.798133026,1.602489835,1.602489835,0.07558,0.348126,0.075483,
mol_9182,-1814.866278945130,95,13.36709,605.8732599999979,-149.870484506,-148.996364469,-38.695969994,-22.319240112000003,III_benzimid,tolu,Propyl,tolu,DEP,DEP,3.798133026,1.649728751,3.798133026,10.28464853,10.28464853,0.067981,0.325427,0.065398,
mol_9184,-1657.694047853207,83,11.69391,549.7669399999983,-153.343119312,-149.068528004,-39.002821895000004,-22.259626757,III_benzimid,tolu,Propyl,tolu,EP,EP,3.798133026,1.649728751,3.798133026,3.874770761,3.874770761,0.0652,0.319173,0.064047,
mol_9186,-1736.292399278449,89,9.01866,577.820099999998,-150.93034720699998,-150.835593348,-35.574740228,-20.697756856,III_benzimid,tolu,Propyl,tolu,DMBz,DMBz,3.798133026,1.649728751,3.798133026,2.127721562,2.127721562,0.078003,0.351793,0.077595,
mol_9190,-1117.190686808447,57,0.20413,369.52186000000034,-160.36620004,-159.911256015,-38.110504097,-21.00272623,III_benzimid,DMP,Propyl,DMP,Hydro,Hydro,8.431506296,1.649728751,8.431506296,0,0,0.073496,0.346247,0.073289,
mol_9191,-1195.784107280006,63,0.81103,397.5750200000004,-159.132517346,-155.23066638400002,-35.670749105,-19.903957970999997,III_benzimid,DMP,Propyl,DMP,Methyl,Methyl,8.431506296,1.649728751,8.431506296,1.803016771,1.803016771,0.080804,0.357035,0.081099,
mol_9193,-1352.960558734126,75,4.00345,453.68134000000055,-158.868336057,-154.78136994,-36.398659545,-20.366432104,III_benzimid,DMP,Propyl,DMP,Propyl,Propyl,8.431506296,1.649728751,8.431506296,1.649728751,1.649728751,0.079128,0.353418,0.078701,
mol_9194,-1431.553174129227,81,5.65257,481.7345000000006,-157.87498931,-154.493970818,-36.309553267,-20.159981643000002,III_benzimid,DMP,Propyl,DMP,Butyl,Butyl,8.431506296,1.649728751,8.431506296,1.602489835,1.602489835,0.075539,0.345805,0.074444,
mol_92,-1317.248634809445,78,8.45076,445.7024000000006,-154.320150825,-154.198414079,-20.784353098,-19.774691117,I_imid,Butyl,Hydro,Butyl,DEP,DEP,1.602489835,0,1.602489835,10.28464853,10.28464853,0.113542,0.365417,0.105504,
mol_9200,-1657.702990007424,83,10.03710,549.7669399999983,-153.52446941300002,-150.55007675299998,-39.49227891500001,-21.293890406,III_benzimid,DMP,Propyl,DMP,tolu,tolu,8.431506296,1.649728751,8.431506296,3.798133026,3.798133026,0.068384,0.323716,0.063951,
mol_9206,-1814.877747879397,95,11.29295,605.8732599999979,-150.17608138900002,-149.443150877,-36.47082308,-20.032597316,III_benzimid,DMP,Propyl,DMP,DMBz,DMBz,8.431506296,1.649728751,8.431506296,2.127721562,2.127721562,0.081139,0.351824,0.076073,
mol_9208,-2037.088141766359,93,7.69411,641.8176999999982,-139.61447741,-139.211616632,-37.643009892,-20.568490002,III_benzimid,DMP,Propyl,DMP,DMOB,DMOB,8.431506296,1.649728751,8.431506296,6.042753333,6.042753333,0.075125,0.348115,0.075708,
mol_9210,-1274.362397580329,69,0.30264,425.62818000000044,-158.361936294,-158.22262929599998,-37.805534723,-18.682825457,III_benzimid,DEP,Propyl,DEP,Hydro,Hydro,10.28464853,1.649728751,10.28464853,0,0,0.07377,0.346492,0.073714,
mol_9213,-1510.135946144254,87,3.59028,509.78766000000064,-157.619593147,-154.755014562,-36.090552626000004,-18.810209784,III_benzimid,DEP,Propyl,DEP,Propyl,Propyl,10.28464853,1.649728751,10.28464853,1.649728751,1.649728751,0.077212,0.349303,0.07696,
mol_9216,-1588.716241497857,93,4.53846,537.8408199999992,-157.249990346,-153.917290047,-35.714674735,-18.769421699000002,III_benzimid,DEP,Propyl,DEP,Sec-Butyl,Sec-Butyl,10.28464853,1.649728751,10.28464853,2.129855094,2.129855094,0.079766,0.354842,0.07934,
mol_9220,-1814.871821402500,95,8.69569,605.8732599999979,-154.016436469,-150.061247242,-39.892629657,-21.709301364,III_benzimid,DEP,Propyl,DEP,tolu,tolu,10.28464853,1.649728751,10.28464853,3.798133026,3.798133026,0.072743,0.330059,0.065399,
mol_9221,-1893.459546588757,101,10.13614,633.9264199999978,-150.72075920100002,-148.695160149,-39.543107144000004,-20.168766769,III_benzimid,DEP,Propyl,DEP,DMP,DMP,10.28464853,1.649728751,10.28464853,8.431506296,8.431506296,0.067404,0.326128,0.067739,
mol_9222,-2050.626166950310,113,11.29438,690.0327399999977,-150.89081414,-148.760421085,-39.129578713,-19.467839216,III_benzimid,DEP,Propyl,DEP,DEP,DEP,10.28464853,1.649728751,10.28464853,10.28464853,10.28464853,0.06796,0.330288,0.070505,
mol_9224,-1893.458475142623,101,9.22065,633.9264199999978,-153.998866217,-152.236820945,-39.270768238,-19.27707648,III_benzimid,DEP,Propyl,DEP,EP,EP,10.28464853,1.649728751,10.28464853,3.874770761,3.874770761,0.06419,0.323791,0.069737,
mol_923,-1317.274026452513,78,7.59241,445.7024000000006,-151.767444213,-150.08760262,-17.118445519999998,-16.226127722,I_imid,Butyl,Ethyl,Butyl,TMP,TMP,1.602489835,1.711067804,1.602489835,7.628118434,7.628118434,0.11456,0.318121,0.085126,
mol_9233,-1431.562152767663,81,3.61293,481.7345000000006,-157.62900578199998,-154.054087009,-34.723210515000005,-18.010135809,III_benzimid,TMP,Propyl,TMP,Propyl,Propyl,7.628118434,1.649728751,7.628118434,1.649728751,1.649728751,0.076882,0.34804,0.075991,
mol_9234,-1510.152882583391,87,5.64258,509.78766000000064,-156.740453038,-153.8024559,-35.286713597,-17.880868955,III_benzimid,TMP,Propyl,TMP,Butyl,Butyl,7.628118434,1.649728751,7.628118434,1.602489835,1.602489835,0.074574,0.34528,0.075501,
