Molecule,SinglePointEnergy[a.u.],nAtoms,DipoleMoment[Debye],MolecularWeight[g/mol],HOMO-1[kcal/mol],HOMO[kcal/mol],LUMO[kcal/mol],LUMO+1[kcal/mol],CoreStructure,N-1_subst,C-2_subst,N-3_subst,C-4_subst,C-5_subst,N-1_Avalue[kcal/mol],C-2_Avalue[kcal/mol],N-3_Avalue[kcal/mol],C-4_Avalue[kcal/mol],C-5_Avalue[kcal/mol],LUMO_N-1[%],LUMO_C-2[%],LUMO_N-3[%]
mol_10227,-1313.669917272696,72,18.22462,439.6547600000005,-150.36872665200002,-148.42156622500002,-36.0190166,-15.264156425,III_benzimid,Hydro,Sec-Butyl,Hydro,DEP,DEP,0,2.129855094,0,10.28464853,10.28464853,0.059081,0.294507,0.059463,
mol_10228,-1235.091797291249,66,18.20928,411.6016000000004,-147.35919348800002,-144.467632016,-35.394645145,-15.906098132,III_benzimid,Hydro,Sec-Butyl,Hydro,TMP,TMP,0,2.129855094,0,7.628118434,7.628118434,0.059758,0.298094,0.05931,
mol_10230,-1077.905496046590,54,16.59941,355.4952800000003,-154.563624317,-153.97376585700002,-33.919998995,-10.223376628,III_benzimid,Hydro,Sec-Butyl,Hydro,Bz,Bz,0,2.129855094,0,1.541420611,1.541420611,0.066017,0.310736,0.064575,
mol_10232,-1313.690220125376,72,14.76806,439.65476000000046,-146.623125431,-144.599408906,-31.178412174,-6.571901757,III_benzimid,Hydro,Sec-Butyl,Hydro,TMBz,TMBz,0,2.129855094,0,2.232277195,2.232277195,0.074819,0.336393,0.074929,
mol_10236,-694.563901561580,40,3.39182,231.35651999999973,-157.269443125,-153.24209036300002,-31.32524928,-3.885535728,III_benzimid,Methyl,Sec-Butyl,Methyl,Methyl,Methyl,1.803016771,2.129855094,1.803016771,1.803016771,1.803016771,0.072312,0.330749,0.070357,
mol_1024,-1386.220852376978,68,5.99141,457.6285200000004,-158.660003069,-157.945897827,-28.863531473000002,-22.476117362000004,I_imid,phen,Ethyl,phen,EP,EP,3.620874142,1.711067804,3.620874142,3.874770761,3.874770761,0.057862,0.230221,0.073166,
mol_10244,-1077.888042021926,54,14.08209,355.4952800000003,-156.50701969,-147.826687693,-36.879958948,-23.406085700000002,III_benzimid,Methyl,Sec-Butyl,Methyl,phen,phen,1.803016771,2.129855094,1.803016771,3.620874142,3.620874142,0.057212,0.286802,0.053052,
mol_10253,-1535.867261913422,70,12.96164,475.59920000000045,-139.527253659,-138.419700274,-33.440582119,-17.107150358000002,III_benzimid,Methyl,Sec-Butyl,Methyl,DMOB,DMOB,1.803016771,2.129855094,1.803016771,6.042753333,6.042753333,0.066617,0.318126,0.064841,
mol_1026,-1464.811097981690,74,5.76550,485.68168000000037,-150.989960562,-149.94955064,-22.585931437,-21.078654819,I_imid,phen,Ethyl,phen,DMBz,DMBz,3.620874142,1.711067804,3.620874142,2.127721562,2.127721562,0.029612,0.085229,0.030537,
mol_10260,-1008.923586855000,64,9.31530,343.5691600000006,-155.538145794,-152.68548988,-32.275925415,-4.855037133,III_benzimid,Ethyl,Sec-Butyl,Ethyl,Isobutyl,Isobutyl,1.711067804,2.129855094,1.711067804,3.276026296,3.276026296,0.066775,0.317165,0.066187,
